instance,set,n_customers,seed,cost,optimal,gap,n_routes,k_reference,init_cost,init_gap,iterations,runtime,time_to_best,iter_to_best,time_limit,stop_reason,param,value
F-n72-k4,F,71,1,237,237.0,0.0,4,4,250,5.485232067510548,6332,10.000404542020988,0.018551583983935416,15,10.0,time_limit,time_limit,10.0
F-n72-k4,F,71,2,237,237.0,0.0,4,4,264,11.39240506329114,6370,10.00390679197153,0.1955294999643229,112,10.0,time_limit,time_limit,10.0
F-n72-k4,F,71,3,237,237.0,0.0,4,4,264,11.39240506329114,6369,10.012910374964122,0.3385722080129199,226,10.0,time_limit,time_limit,10.0
M-n121-k7,M,120,1,1037,1034.0,0.2901353965183752,7,7,1039,0.4835589941972921,2460,10.000422957993578,2.043237333011348,643,10.0,time_limit,time_limit,10.0
M-n121-k7,M,120,2,1039,1034.0,0.4835589941972921,7,7,1051,1.644100580270793,2347,10.009511417010799,2.34366970800329,712,10.0,time_limit,time_limit,10.0
M-n121-k7,M,120,3,1036,1034.0,0.19342359767891681,7,7,1049,1.4506769825918762,2522,10.00945141701959,2.487327084003482,730,10.0,time_limit,time_limit,10.0
M-n200-k17,M,199,1,1302,1275.0,2.1176470588235294,17,17,1410,10.588235294117647,1850,10.010907500050962,5.5871718330308795,1055,10.0,time_limit,time_limit,10.0
M-n200-k17,M,199,2,1291,1275.0,1.2549019607843137,17,17,1429,12.07843137254902,1904,10.001047249999829,9.78756466699997,1876,10.0,time_limit,time_limit,10.0
M-n200-k17,M,199,3,1303,1275.0,2.196078431372549,17,17,1370,7.450980392156863,1854,10.006061957974453,9.74456562497653,1806,10.0,time_limit,time_limit,10.0
P-n45-k5,P,44,1,510,510.0,0.0,5,5,556,9.019607843137255,11807,10.00235987501219,0.023639832972548902,45,10.0,time_limit,time_limit,10.0
P-n45-k5,P,44,2,510,510.0,0.0,5,5,560,9.803921568627452,11955,10.000411333050579,0.09228116605663672,157,10.0,time_limit,time_limit,10.0
P-n45-k5,P,44,3,510,510.0,0.0,5,5,561,10.0,11935,10.000773374980781,0.02477112499764189,29,10.0,time_limit,time_limit,10.0
P-n65-k10,P,64,1,792,792.0,0.0,10,10,840,6.0606060606060606,6878,10.01001633296255,3.885660707950592,2686,10.0,time_limit,time_limit,10.0
P-n65-k10,P,64,2,792,792.0,0.0,10,10,837,5.681818181818182,6858,10.00000908295624,3.9935892919893377,2856,10.0,time_limit,time_limit,10.0
P-n65-k10,P,64,3,792,792.0,0.0,10,10,833,5.1767676767676765,6986,10.000351041031536,1.6699661660240963,1023,10.0,time_limit,time_limit,10.0
P-n101-k4,P,100,1,683,681.0,0.2936857562408223,4,4,736,8.076358296622614,3182,10.001069125020877,2.5058716670027934,843,10.0,time_limit,time_limit,10.0
P-n101-k4,P,100,2,681,681.0,0.0,4,4,706,3.671071953010279,3111,10.00034762499854,6.082971833995543,1935,10.0,time_limit,time_limit,10.0
P-n101-k4,P,100,3,681,681.0,0.0,4,4,698,2.4963289280469896,3148,10.000996916962322,1.8682195830042474,691,10.0,time_limit,time_limit,10.0
E-n33-k4,E,32,1,835,835.0,0.0,4,4,868,3.9520958083832336,29155,20.000184541975614,0.033964083006139845,58,20.0,time_limit,time_limit,20.0
E-n33-k4,E,32,2,835,835.0,0.0,4,4,895,7.18562874251497,29366,20.000710375024937,0.06449695897754282,128,20.0,time_limit,time_limit,20.0
E-n33-k4,E,32,3,835,835.0,0.0,4,4,866,3.712574850299401,28485,20.000420332944486,0.17773199995281175,185,20.0,time_limit,time_limit,20.0
E-n76-k8,E,75,1,735,735.0,0.0,8,8,766,4.217687074829932,9639,20.000999625015538,16.34574804198928,7746,20.0,time_limit,time_limit,20.0
E-n76-k8,E,75,2,736,735.0,0.1360544217687075,8,8,805,9.523809523809524,9537,20.00235187500948,9.55028600001242,4414,20.0,time_limit,time_limit,20.0
E-n76-k8,E,75,3,736,735.0,0.1360544217687075,8,8,790,7.482993197278912,9246,20.008225958037656,9.677442708052695,4324,20.0,time_limit,time_limit,20.0
E-n101-k14,E,100,1,1078,1067.0,1.0309278350515463,14,14,1130,5.904404873477039,6311,20.00254658400081,11.541685584001243,3482,20.0,time_limit,time_limit,20.0
E-n101-k14,E,100,2,1077,1067.0,0.9372071227741331,14,14,1128,5.716963448922212,5832,20.006473375018686,15.079942334035877,4380,20.0,time_limit,time_limit,20.0
E-n101-k14,E,100,3,1067,1067.0,0.0,14,14,1132,6.091846298031865,6251,20.000723292003386,10.737884083006065,3250,20.0,time_limit,time_limit,20.0
F-n72-k4,F,71,1,237,237.0,0.0,4,4,250,5.485232067510548,11014,20.00065750000067,0.017861959000583738,15,20.0,time_limit,time_limit,20.0
F-n72-k4,F,71,2,237,237.0,0.0,4,4,264,11.39240506329114,10755,20.00780899997335,0.21260545897530392,112,20.0,time_limit,time_limit,20.0
F-n72-k4,F,71,3,237,237.0,0.0,4,4,264,11.39240506329114,11022,20.00138200004585,0.3224794580019079,226,20.0,time_limit,time_limit,20.0
M-n121-k7,M,120,1,1036,1034.0,0.19342359767891681,7,7,1039,0.4835589941972921,4374,20.00863550003851,9.19893883401528,2115,20.0,time_limit,time_limit,20.0
M-n121-k7,M,120,2,1036,1034.0,0.19342359767891681,7,7,1051,1.644100580270793,4301,20.008395084005315,12.644893541990314,2652,20.0,time_limit,time_limit,20.0
M-n121-k7,M,120,3,1037,1034.0,0.2901353965183752,7,7,1049,1.4506769825918762,4197,20.004717166011687,2.7147306660190225,635,20.0,time_limit,time_limit,20.0
M-n200-k17,M,199,1,1300,1275.0,1.9607843137254901,17,17,1410,10.588235294117647,3234,20.01502387499204,14.913421000004746,2421,20.0,time_limit,time_limit,20.0
M-n200-k17,M,199,2,1302,1275.0,2.1176470588235294,17,17,1429,12.07843137254902,3247,20.014803792000748,11.799388749990612,1897,20.0,time_limit,time_limit,20.0
M-n200-k17,M,199,3,1302,1275.0,2.1176470588235294,17,17,1370,7.450980392156863,3170,20.004483708005864,17.278896000003442,2777,20.0,time_limit,time_limit,20.0
P-n45-k5,P,44,1,510,510.0,0.0,5,5,556,9.019607843137255,21206,20.000787542026956,0.042865000024903566,45,20.0,time_limit,time_limit,20.0
P-n45-k5,P,44,2,510,510.0,0.0,5,5,560,9.803921568627452,21652,20.000411957968026,0.12607887497870252,157,20.0,time_limit,time_limit,20.0
P-n45-k5,P,44,3,510,510.0,0.0,5,5,561,10.0,21489,20.00011529098265,0.034796540974639356,29,20.0,time_limit,time_limit,20.0
P-n65-k10,P,64,1,792,792.0,0.0,10,10,840,6.0606060606060606,12618,20.001858375035226,5.33263508300297,3018,20.0,time_limit,time_limit,20.0
P-n65-k10,P,64,2,792,792.0,0.0,10,10,837,5.681818181818182,12775,20.00004070799332,5.392865500005428,3136,20.0,time_limit,time_limit,20.0
P-n65-k10,P,64,3,792,792.0,0.0,10,10,833,5.1767676767676765,12904,20.003335333021823,5.199745874968357,2961,20.0,time_limit,time_limit,20.0
P-n101-k4,P,100,1,681,681.0,0.0,4,4,736,8.076358296622614,6374,20.000924209016375,4.877208999998402,1520,20.0,time_limit,time_limit,20.0
P-n101-k4,P,100,2,681,681.0,0.0,4,4,706,3.671071953010279,6404,20.05021920899162,5.9065423749852926,1918,20.0,time_limit,time_limit,20.0
P-n101-k4,P,100,3,681,681.0,0.0,4,4,698,2.4963289280469896,6302,20.03224487497937,2.2756154169910587,758,20.0,time_limit,time_limit,20.0
E-n33-k4,E,32,1,835,835.0,0.0,4,4,868,3.9520958083832336,59079,40.000437500013504,0.04705716704484075,58,40.0,time_limit,time_limit,40.0
E-n33-k4,E,32,2,835,835.0,0.0,4,4,895,7.18562874251497,59179,40.00329762499314,0.11153954098699614,128,40.0,time_limit,time_limit,40.0
E-n33-k4,E,32,3,835,835.0,0.0,4,4,866,3.712574850299401,58865,40.00083645799896,0.140735124994535,185,40.0,time_limit,time_limit,40.0
E-n76-k8,E,75,1,736,735.0,0.1360544217687075,8,8,766,4.217687074829932,19636,40.00080783298472,15.050076915998943,7240,40.0,time_limit,time_limit,40.0
E-n76-k8,E,75,2,736,735.0,0.1360544217687075,8,8,805,9.523809523809524,20020,40.000008500006516,19.837853290955536,9685,40.0,time_limit,time_limit,40.0
E-n76-k8,E,75,3,736,735.0,0.1360544217687075,8,8,790,7.482993197278912,19927,40.000259625026956,10.016885749995708,4911,40.0,time_limit,time_limit,40.0
E-n101-k14,E,100,1,1079,1067.0,1.1246485473289598,14,14,1130,5.904404873477039,12615,40.00512295903172,18.952194750017952,5937,40.0,time_limit,time_limit,40.0
E-n101-k14,E,100,2,1077,1067.0,0.9372071227741331,14,14,1128,5.716963448922212,12493,40.003937917004805,28.9357766250032,9053,40.0,time_limit,time_limit,40.0
E-n101-k14,E,100,3,1078,1067.0,1.0309278350515463,14,14,1132,6.091846298031865,12367,40.000699374999385,33.777704957989044,10491,40.0,time_limit,time_limit,40.0
F-n72-k4,F,71,1,237,237.0,0.0,4,4,250,5.485232067510548,23136,40.05854937498225,0.013080290984362364,15,40.0,time_limit,time_limit,40.0
F-n72-k4,F,71,2,237,237.0,0.0,4,4,264,11.39240506329114,22502,40.01016345794778,0.20370141696184874,112,40.0,time_limit,time_limit,40.0
F-n72-k4,F,71,3,237,237.0,0.0,4,4,264,11.39240506329114,22720,40.00019258400425,0.37537399999564514,226,40.0,time_limit,time_limit,40.0
M-n121-k7,M,120,1,1036,1034.0,0.19342359767891681,7,7,1039,0.4835589941972921,10001,40.00056833302369,21.414315540983807,4871,40.0,time_limit,time_limit,40.0
M-n121-k7,M,120,2,1035,1034.0,0.09671179883945841,7,7,1051,1.644100580270793,9782,40.0042937080143,21.12233591603581,4915,40.0,time_limit,time_limit,40.0
M-n121-k7,M,120,3,1035,1034.0,0.09671179883945841,7,7,1049,1.4506769825918762,9762,40.000877665996086,35.949833833030425,8569,40.0,time_limit,time_limit,40.0
M-n200-k17,M,199,1,1305,1275.0,2.3529411764705883,17,17,1410,10.588235294117647,7479,40.01486195798498,28.205735708004795,4988,40.0,time_limit,time_limit,40.0
M-n200-k17,M,199,2,1301,1275.0,2.0392156862745097,17,17,1429,12.07843137254902,7188,40.010534166009165,37.601629915996455,6671,40.0,time_limit,time_limit,40.0
M-n200-k17,M,199,3,1299,1275.0,1.8823529411764706,17,17,1370,7.450980392156863,7165,40.00278416700894,27.033863582997583,4669,40.0,time_limit,time_limit,40.0
P-n45-k5,P,44,1,510,510.0,0.0,5,5,556,9.019607843137255,51331,40.00019766698824,0.09552679199259728,45,40.0,time_limit,time_limit,40.0
P-n45-k5,P,44,2,510,510.0,0.0,5,5,560,9.803921568627452,51498,40.00033291702857,0.19505725003546104,157,40.0,time_limit,time_limit,40.0
P-n45-k5,P,44,3,510,510.0,0.0,5,5,561,10.0,50856,40.00014274998102,0.06555666698841378,29,40.0,time_limit,time_limit,40.0
P-n65-k10,P,64,1,792,792.0,0.0,10,10,840,6.0606060606060606,33570,40.00044045899995,11.48329541698331,8389,40.0,time_limit,time_limit,40.0
P-n65-k10,P,64,2,792,792.0,0.0,10,10,837,5.681818181818182,32619,40.00013991701417,0.8172459999914281,477,40.0,time_limit,time_limit,40.0
P-n65-k10,P,64,3,792,792.0,0.0,10,10,833,5.1767676767676765,33361,40.00360749999527,7.390684499987401,5309,40.0,time_limit,time_limit,40.0
P-n101-k4,P,100,1,681,681.0,0.0,4,4,736,8.076358296622614,17296,40.0009354170179,6.038193959044293,2649,40.0,time_limit,time_limit,40.0
P-n101-k4,P,100,2,681,681.0,0.0,4,4,706,3.671071953010279,17505,40.000555375008844,2.862528541008942,1205,40.0,time_limit,time_limit,40.0
P-n101-k4,P,100,3,681,681.0,0.0,4,4,698,2.4963289280469896,17712,40.00358454196248,16.218602249980904,7032,40.0,time_limit,time_limit,40.0
E-n33-k4,E,32,1,835,835.0,0.0,4,4,868,3.9520958083832336,151874,80.00019004096976,0.035860000003594905,58,80.0,time_limit,time_limit,80.0
E-n33-k4,E,32,2,835,835.0,0.0,4,4,895,7.18562874251497,151852,80.00122116698185,0.06320112501271069,128,80.0,time_limit,time_limit,80.0
E-n33-k4,E,32,3,835,835.0,0.0,4,4,866,3.712574850299401,153860,80.00022141594673,0.08341674995608628,185,80.0,time_limit,time_limit,80.0
E-n76-k8,E,75,1,735,735.0,0.0,8,8,766,4.217687074829932,50378,80.00245866703335,42.73400295799365,27510,80.0,time_limit,time_limit,80.0
E-n76-k8,E,75,2,735,735.0,0.0,8,8,805,9.523809523809524,51004,80.00111149996519,49.296309207973536,32018,80.0,time_limit,time_limit,80.0
E-n76-k8,E,75,3,736,735.0,0.1360544217687075,8,8,790,7.482993197278912,49998,80.00032724998891,1.5312616669689305,970,80.0,time_limit,time_limit,80.0
