instance,set,n_customers,seed,cost,optimal,gap,n_routes,k_reference,init_cost,init_gap,iterations,runtime,time_to_best,iter_to_best,time_limit,stop_reason
P-n20-k2,P,19,2,216,216.0,0.0,2,2,222,2.7777777777777777,30062,8.22475904104067,0.010509208019357175,62,15.0,stall_limit
P-n20-k2,P,19,3,216,216.0,0.0,2,2,217,0.46296296296296297,30005,8.583336874959059,0.0028304169536568224,5,15.0,stall_limit
P-n20-k2,P,19,4,216,216.0,0.0,2,2,234,8.333333333333334,30067,8.467051167041063,0.02364654204575345,67,15.0,stall_limit
P-n20-k2,P,19,5,216,216.0,0.0,2,2,234,8.333333333333334,30008,8.842301708005834,0.0016974160098470747,8,15.0,stall_limit
P-n21-k2,P,20,1,211,211.0,0.0,2,2,236,11.848341232227488,30004,10.58649916696595,0.002634874952491373,4,15.0,stall_limit
P-n21-k2,P,20,2,211,211.0,0.0,2,2,236,11.848341232227488,30003,10.478548749990296,0.004028791969176382,3,15.0,stall_limit
P-n21-k2,P,20,3,211,211.0,0.0,2,2,222,5.213270142180095,30011,10.296479292039294,0.0030706250108778477,11,15.0,stall_limit
P-n21-k2,P,20,4,211,211.0,0.0,2,2,236,11.848341232227488,30009,10.051091374945827,0.006098416983149946,9,15.0,stall_limit
P-n21-k2,P,20,5,211,211.0,0.0,2,2,236,11.848341232227488,30011,9.933989499986637,0.004842832975555211,11,15.0,stall_limit
P-n22-k2,P,21,1,216,216.0,0.0,2,2,223,3.240740740740741,30006,9.663770291022956,0.0016312079969793558,6,15.0,stall_limit
P-n22-k2,P,21,2,216,216.0,0.0,2,2,240,11.11111111111111,30013,9.702273167029489,0.00791291700443253,13,15.0,stall_limit
P-n22-k2,P,21,3,216,216.0,0.0,2,2,224,3.7037037037037037,30013,9.660419874999207,0.007143458002246916,13,15.0,stall_limit
P-n22-k2,P,21,4,216,216.0,0.0,2,2,229,6.018518518518518,30007,9.32207966700662,0.0019294170197099447,7,15.0,stall_limit
P-n22-k2,P,21,5,216,216.0,0.0,2,2,229,6.018518518518518,30007,9.225744458963163,0.002384458959568292,7,15.0,stall_limit
P-n22-k8,P,21,1,603,603.0,0.0,8,8,603,0.0,30000,5.565674624987878,0.0,0,15.0,stall_limit
P-n22-k8,P,21,2,603,603.0,0.0,8,8,686,13.764510779436153,30018,5.703615916019771,0.0072000829968601465,18,15.0,stall_limit
P-n22-k8,P,21,3,603,603.0,0.0,8,8,603,0.0,30000,5.429072749975603,0.0,0,15.0,stall_limit
